                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.6244,                 1.0695,                  1.072,                0.61324,                0.40248,                0.34487,                0.17381,                 1.7151,                 1.3621,                  1.132,               0.008713,               0.008713,               0.008713
                     15,                 1.6274,                 1.0803,                 1.0729,                0.61397,                0.40184,                0.34382,                0.17452,                 1.7092,                  1.346,                 1.1368,               0.008614,               0.008614,               0.008614
                     16,                 1.6251,                 1.0824,                 1.0714,                0.61331,                0.40262,                 0.3472,                0.17575,                 1.7079,                 1.3309,                 1.1296,               0.008515,               0.008515,               0.008515
                     17,                 1.6087,                  1.069,                 1.0708,                0.62187,                0.40164,                0.34929,                0.17711,                 1.7073,                 1.3391,                  1.134,               0.008416,               0.008416,               0.008416
                     18,                 1.6047,                 1.0571,                 1.0679,                0.61891,                0.40614,                0.35084,                  0.179,                 1.7027,                 1.3255,                 1.1317,               0.008317,               0.008317,               0.008317
                     19,                 1.6009,                 1.0553,                 1.0641,                0.61895,                0.40348,                0.35002,                0.17861,                 1.6986,                  1.332,                 1.1201,               0.008218,               0.008218,               0.008218
                     20,                 1.6016,                 1.0584,                 1.0633,                0.62032,                0.40711,                0.35151,                0.17831,                  1.703,                 1.3234,                 1.1319,               0.008119,               0.008119,               0.008119
                     21,                 1.5926,                 1.0436,                 1.0667,                0.62226,                0.41028,                0.35551,                0.18241,                 1.6818,                 1.3174,                 1.1357,                0.00802,                0.00802,                0.00802
                     22,                 1.6007,                 1.0507,                 1.0611,                0.61672,                0.40824,                0.35129,                0.17999,                 1.6818,                 1.3136,                 1.1235,               0.007921,               0.007921,               0.007921
                     23,                 1.6003,                 1.0532,                 1.0619,                0.62535,                0.41164,                0.36049,                 0.1857,                 1.6845,                 1.3145,                 1.1235,               0.007822,               0.007822,               0.007822
                     24,                  1.588,                 1.0402,                 1.0578,                0.62424,                0.41502,                0.35725,                0.18118,                 1.6744,                 1.3088,                  1.118,               0.007723,               0.007723,               0.007723
                     25,                 1.5828,                 1.0338,                 1.0538,                0.61707,                0.41164,                 0.3563,                0.18204,                 1.6691,                 1.3098,                 1.1219,               0.007624,               0.007624,               0.007624
                     26,                 1.5736,                 1.0339,                 1.0522,                0.62009,                0.41611,                 0.3594,                0.18526,                 1.6647,                  1.302,                 1.1173,               0.007525,               0.007525,               0.007525
                     27,                 1.5787,                 1.0275,                 1.0519,                0.62405,                 0.4156,                0.35973,                0.18479,                   1.66,                 1.2991,                 1.1139,               0.007426,               0.007426,               0.007426
                     28,                 1.5662,                 1.0145,                 1.0521,                0.62593,                 0.4156,                0.36304,                0.18811,                 1.6615,                 1.3042,                 1.1187,               0.007327,               0.007327,               0.007327
                     29,                 1.5723,                  1.014,                 1.0481,                0.62602,                 0.4177,                0.36438,                0.18885,                 1.6611,                 1.2947,                 1.1196,               0.007228,               0.007228,               0.007228
                     30,                 1.5718,                 1.0266,                 1.0505,                0.62608,                0.41855,                0.36532,                0.18883,                 1.6531,                  1.296,                 1.1083,               0.007129,               0.007129,               0.007129
                     31,                 1.5548,                0.99953,                 1.0479,                0.62606,                0.42251,                0.36977,                0.18937,                 1.6573,                 1.2896,                 1.1134,                0.00703,                0.00703,                0.00703
                     32,                  1.563,                 1.0008,                 1.0505,                0.62496,                0.42132,                0.36846,                0.18998,                 1.6526,                  1.281,                 1.1122,               0.006931,               0.006931,               0.006931
                     33,                 1.5652,                 1.0091,                 1.0467,                 0.6241,                0.42093,                0.36859,                0.19112,                 1.6489,                 1.2889,                 1.1117,               0.006832,               0.006832,               0.006832
                     34,                 1.5662,                 1.0117,                 1.0443,                 0.6271,                0.42319,                0.36757,                0.18941,                 1.6495,                 1.2875,                 1.1117,               0.006733,               0.006733,               0.006733
                     35,                 1.5661,                 1.0134,                 1.0501,                0.62487,                0.42445,                0.37148,                 0.1923,                 1.6485,                 1.2785,                 1.1086,               0.006634,               0.006634,               0.006634
                     36,                  1.557,                 1.0009,                 1.0438,                0.62521,                0.42518,                0.37267,                0.19295,                 1.6437,                 1.2781,                 1.1097,               0.006535,               0.006535,               0.006535
                     37,                 1.5622,                0.99836,                  1.044,                0.62682,                0.42468,                0.37303,                0.19465,                 1.6409,                  1.277,                 1.1084,               0.006436,               0.006436,               0.006436
                     38,                 1.5507,                0.99633,                 1.0448,                0.62732,                0.42507,                0.37391,                0.19376,                 1.6407,                 1.2792,                 1.1063,               0.006337,               0.006337,               0.006337
                     39,                 1.5533,                      1,                 1.0462,                0.63039,                0.42546,                0.37667,                0.19506,                 1.6412,                 1.2707,                  1.109,               0.006238,               0.006238,               0.006238
                     40,                 1.5463,                 0.9883,                 1.0395,                0.62944,                0.42741,                 0.3787,                0.19637,                 1.6379,                 1.2625,                 1.1059,               0.006139,               0.006139,               0.006139
                     41,                 1.5467,                0.98294,                 1.0371,                0.63043,                0.42825,                0.37855,                0.19633,                 1.6388,                 1.2715,                 1.1049,                0.00604,                0.00604,                0.00604
                     42,                 1.5423,                0.98383,                 1.0396,                 0.6288,                 0.4275,                0.37757,                0.19641,                 1.6352,                 1.2729,                 1.1062,               0.005941,               0.005941,               0.005941
                     43,                 1.5344,                 0.9685,                 1.0367,                0.63117,                0.42795,                0.37911,                0.19706,                  1.634,                 1.2741,                 1.1056,               0.005842,               0.005842,               0.005842
                     44,                 1.5357,                0.97195,                 1.0363,                0.63357,                0.42722,                0.37775,                0.19647,                 1.6349,                 1.2701,                 1.1051,               0.005743,               0.005743,               0.005743
                     45,                 1.5338,                0.97772,                 1.0324,                0.63401,                0.42778,                0.37902,                0.19645,                 1.6394,                 1.2714,                 1.1054,               0.005644,               0.005644,               0.005644
                     46,                 1.5401,                 0.9876,                 1.0384,                0.63548,                0.42724,                0.38054,                 0.1983,                 1.6358,                 1.2704,                 1.1039,               0.005545,               0.005545,               0.005545
                     47,                 1.5253,                0.97006,                 1.0367,                0.63259,                0.42967,                0.37854,                0.19618,                 1.6355,                 1.2732,                 1.1052,               0.005446,               0.005446,               0.005446
                     48,                 1.5242,                0.96612,                 1.0348,                0.63239,                0.43105,                0.38111,                0.19731,                 1.6342,                 1.2679,                 1.1042,               0.005347,               0.005347,               0.005347
                     49,                  1.527,                0.96232,                 1.0323,                0.63365,                0.42957,                0.38149,                 0.1978,                 1.6314,                 1.2725,                 1.1052,               0.005248,               0.005248,               0.005248
                     50,                 1.5272,                0.96664,                 1.0336,                0.63072,                0.43201,                0.38062,                0.19748,                 1.6277,                 1.2684,                 1.1022,               0.005149,               0.005149,               0.005149
                     51,                 1.5251,                0.95899,                 1.0315,                0.63177,                0.43353,                0.38256,                0.19898,                  1.629,                 1.2701,                 1.1025,                0.00505,                0.00505,                0.00505
                     52,                  1.528,                0.96462,                 1.0356,                0.63349,                0.43105,                 0.3819,                0.19877,                  1.629,                 1.2707,                 1.1045,               0.004951,               0.004951,               0.004951
                     53,                 1.5138,                0.95377,                 1.0317,                0.63102,                0.43191,                0.38282,                0.19942,                 1.6307,                 1.2721,                 1.1057,               0.004852,               0.004852,               0.004852
                     54,                 1.5155,                 0.9561,                 1.0321,                0.63033,                0.43295,                 0.3841,                0.19963,                  1.629,                  1.271,                 1.1055,               0.004753,               0.004753,               0.004753
                     55,                  1.511,                0.94788,                 1.0297,                0.63336,                0.43125,                0.38521,                0.20123,                 1.6302,                 1.2719,                 1.1052,               0.004654,               0.004654,               0.004654
                     56,                 1.5129,                0.94974,                 1.0302,                0.63407,                0.43231,                0.38514,                0.20072,                 1.6316,                  1.274,                 1.1061,               0.004555,               0.004555,               0.004555
                     57,                 1.5132,                0.95395,                 1.0281,                0.63398,                 0.4325,                0.38455,                0.19974,                 1.6303,                 1.2722,                 1.1042,               0.004456,               0.004456,               0.004456
                     58,                 1.5033,                0.94359,                 1.0295,                0.63591,                0.43172,                 0.3851,                0.19991,                 1.6269,                 1.2714,                 1.1033,               0.004357,               0.004357,               0.004357
                     59,                 1.4872,                0.92353,                 1.0239,                0.63464,                0.43236,                0.38564,                0.20018,                 1.6254,                 1.2691,                 1.1029,               0.004258,               0.004258,               0.004258
                     60,                 1.5086,                0.94303,                 1.0246,                0.63849,                0.43184,                0.38594,                 0.2005,                 1.6241,                 1.2715,                 1.1015,               0.004159,               0.004159,               0.004159
                     61,                 1.5056,                0.94364,                 1.0266,                0.63467,                0.43352,                0.38571,                0.20078,                 1.6236,                 1.2726,                 1.1015,                0.00406,                0.00406,                0.00406
                     62,                 1.4984,                 0.9246,                  1.023,                0.63416,                0.43359,                0.38604,                0.20098,                 1.6234,                 1.2759,                 1.1027,               0.003961,               0.003961,               0.003961
                     63,                   1.49,                0.92304,                 1.0204,                0.63465,                0.43317,                0.38646,                0.20095,                 1.6229,                 1.2778,                 1.1023,               0.003862,               0.003862,               0.003862
                     64,                  1.497,                0.93397,                 1.0246,                0.63582,                0.43236,                0.38688,                0.20156,                 1.6211,                 1.2774,                 1.1017,               0.003763,               0.003763,               0.003763
                     65,                 1.4919,                0.92525,                 1.0225,                0.63574,                0.43236,                0.38721,                0.20177,                  1.622,                 1.2781,                 1.1025,               0.003664,               0.003664,               0.003664
                     66,                 1.4931,                0.91979,                 1.0179,                0.63486,                0.43304,                0.38719,                0.20154,                 1.6226,                 1.2782,                 1.1031,               0.003565,               0.003565,               0.003565
                     67,                 1.4794,                0.91483,                  1.021,                0.63449,                0.43297,                0.38696,                0.20136,                  1.622,                 1.2791,                 1.1029,               0.003466,               0.003466,               0.003466
                     68,                 1.4958,                0.91922,                 1.0195,                0.63631,                0.43254,                0.38701,                0.20116,                 1.6226,                 1.2807,                 1.1029,               0.003367,               0.003367,               0.003367
                     69,                 1.4791,                0.90938,                 1.0168,                0.63559,                 0.4336,                0.38719,                 0.2012,                 1.6229,                 1.2821,                  1.103,               0.003268,               0.003268,               0.003268
                     70,                 1.4824,                0.91079,                 1.0178,                 0.6333,                 0.4352,                0.38738,                0.20115,                  1.623,                 1.2832,                 1.1029,               0.003169,               0.003169,               0.003169
                     71,                 1.4791,                  0.908,                 1.0146,                0.63382,                0.43541,                 0.3875,                0.20113,                 1.6229,                 1.2835,                 1.1032,                0.00307,                0.00307,                0.00307
                     72,                 1.4867,                0.91699,                 1.0163,                0.63157,                 0.4365,                0.38756,                0.20121,                 1.6231,                 1.2841,                 1.1031,               0.002971,               0.002971,               0.002971
                     73,                  1.476,                 0.8979,                 1.0137,                0.63336,                0.43652,                0.38795,                0.20141,                 1.6232,                 1.2853,                 1.1034,               0.002872,               0.002872,               0.002872
                     74,                 1.4707,                0.90261,                 1.0151,                0.63351,                 0.4365,                0.38789,                0.20138,                 1.6232,                 1.2868,                 1.1031,               0.002773,               0.002773,               0.002773
                     75,                 1.4725,                0.89798,                 1.0137,                 0.6339,                0.43685,                0.38821,                0.20149,                 1.6229,                 1.2869,                 1.1031,               0.002674,               0.002674,               0.002674
                     76,                 1.4765,                0.90071,                 1.0154,                0.63365,                0.43687,                0.38809,                0.20154,                 1.6228,                 1.2872,                 1.1029,               0.002575,               0.002575,               0.002575
                     77,                  1.464,                0.88921,                 1.0143,                0.63301,                0.43647,                0.38822,                0.20155,                 1.6226,                 1.2879,                 1.1027,               0.002476,               0.002476,               0.002476
                     78,                 1.4646,                0.88802,                 1.0112,                0.63313,                0.43659,                0.38828,                0.20167,                  1.623,                 1.2887,                 1.1028,               0.002377,               0.002377,               0.002377
                     79,                 1.4574,                0.88577,                 1.0142,                0.63281,                0.43667,                0.38852,                0.20178,                 1.6228,                 1.2889,                 1.1027,               0.002278,               0.002278,               0.002278
                     80,                 1.4611,                 0.8824,                 1.0108,                0.63249,                0.43703,                0.38869,                0.20179,                 1.6225,                 1.2897,                 1.1022,               0.002179,               0.002179,               0.002179
                     81,                 1.4491,                0.87963,                 1.0093,                0.63327,                0.43684,                0.38882,                0.20178,                 1.6228,                 1.2905,                 1.1023,                0.00208,                0.00208,                0.00208
                     82,                 1.4564,                0.87839,                 1.0096,                0.63277,                0.43723,                0.38883,                0.20174,                 1.6229,                  1.291,                 1.1024,               0.001981,               0.001981,               0.001981
                     83,                 1.4505,                0.87627,                  1.006,                0.63317,                 0.4371,                0.38897,                0.20178,                 1.6229,                 1.2916,                 1.1023,               0.001882,               0.001882,               0.001882
                     84,                 1.4558,                 0.8785,                 1.0047,                0.63206,                0.43831,                0.38926,                0.20182,                 1.6226,                 1.2918,                 1.1021,               0.001783,               0.001783,               0.001783
                     85,                 1.4444,                0.86576,                 1.0063,                0.63278,                0.43758,                0.38899,                0.20181,                 1.6224,                 1.2921,                  1.102,               0.001684,               0.001684,               0.001684
                     86,                 1.4445,                0.86915,                 1.0039,                0.63341,                0.43743,                0.38902,                0.20192,                 1.6225,                 1.2926,                 1.1022,               0.001585,               0.001585,               0.001585
                     87,                  1.449,                0.86919,                 1.0023,                0.63307,                0.43713,                0.38882,                0.20195,                 1.6225,                 1.2932,                 1.1023,               0.001486,               0.001486,               0.001486
                     88,                 1.4346,                0.85634,                 1.0023,                0.63302,                0.43748,                0.38901,                0.20187,                 1.6226,                 1.2941,                 1.1024,               0.001387,               0.001387,               0.001387
                     89,                 1.4363,                0.85324,                  1.001,                0.63233,                0.43718,                0.38888,                0.20191,                 1.6225,                 1.2947,                 1.1024,               0.001288,               0.001288,               0.001288
                     90,                 1.4263,                  0.856,                 1.0168,                0.63309,                0.43705,                0.38905,                0.20195,                 1.6222,                 1.2946,                 1.1024,               0.001189,               0.001189,               0.001189
                     91,                 1.4176,                0.84294,                 1.0116,                0.63246,                0.43688,                0.38882,                 0.2019,                 1.6219,                 1.2952,                 1.1024,                0.00109,                0.00109,                0.00109
                     92,                 1.4155,                0.83937,                 1.0118,                0.63323,                0.43625,                0.38885,                0.20193,                  1.622,                 1.2958,                 1.1025,               0.000991,               0.000991,               0.000991
                     93,                 1.4108,                0.83639,                 1.0121,                0.63281,                 0.4367,                0.38882,                0.20193,                 1.6221,                 1.2968,                 1.1028,               0.000892,               0.000892,               0.000892
                     94,                 1.4051,                0.82655,                 1.0064,                0.63383,                0.43617,                0.38865,                0.20206,                 1.6224,                 1.2979,                  1.103,               0.000793,               0.000793,               0.000793
                     95,                 1.4044,                 0.8252,                 1.0071,                0.63454,                0.43554,                0.38856,                0.20196,                 1.6225,                 1.2987,                 1.1029,               0.000694,               0.000694,               0.000694
                     96,                 1.3968,                0.82139,                 1.0058,                0.63423,                0.43512,                0.38834,                0.20198,                 1.6226,                 1.2999,                 1.1031,               0.000595,               0.000595,               0.000595
                     97,                 1.3937,                0.81633,                 1.0081,                0.63478,                0.43497,                 0.3885,                0.20208,                 1.6227,                  1.301,                 1.1032,               0.000496,               0.000496,               0.000496
                     98,                 1.3892,                0.80779,                  1.004,                0.63486,                0.43503,                0.38861,                0.20213,                 1.6229,                 1.3023,                 1.1034,               0.000397,               0.000397,               0.000397
                     99,                 1.3946,                0.80802,                 1.0021,                0.63599,                0.43471,                0.38851,                0.20204,                 1.6228,                 1.3035,                 1.1035,               0.000298,               0.000298,               0.000298
