                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.2936,                0.61969,                 1.1816,                0.90626,                0.90121,                0.92969,                0.61166,                 1.4754,                0.62113,                 1.3196,               0.003367,               0.003367,               0.003367
                     69,                 1.2818,                0.60547,                  1.201,                0.88699,                0.91695,                0.94436,                0.61802,                 1.4711,                0.61812,                 1.3218,               0.003268,               0.003268,               0.003268
                     70,                 1.2795,                0.58688,                 1.1744,                0.90249,                0.90664,                0.91713,                0.61216,                 1.4666,                0.62081,                  1.307,               0.003169,               0.003169,               0.003169
                     71,                 1.2639,                0.59973,                  1.179,                0.90345,                0.89796,                0.93814,                0.61999,                 1.4867,                0.61927,                 1.3274,                0.00307,                0.00307,                0.00307
                     72,                 1.2476,                0.59062,                 1.1737,                0.87647,                0.92651,                0.93481,                0.61274,                 1.4874,                 0.6149,                 1.3308,               0.002971,               0.002971,               0.002971
                     73,                 1.2643,                0.58587,                  1.172,                0.88986,                0.86281,                0.92742,                0.61081,                 1.4843,                0.61787,                  1.334,               0.002872,               0.002872,               0.002872
                     74,                 1.2332,                0.58162,                   1.17,                0.88913,                0.87012,                0.91938,                0.58917,                 1.4799,                0.61854,                 1.3367,               0.002773,               0.002773,               0.002773
                     75,                 1.2428,                0.57882,                 1.1688,                0.86583,                0.90227,                0.92896,                0.61064,                 1.4858,                0.60847,                 1.3248,               0.002674,               0.002674,               0.002674
                     76,                 1.2385,                0.57406,                 1.1621,                 0.9001,                0.85128,                0.92107,                0.59806,                 1.4944,                0.61135,                 1.3332,               0.002575,               0.002575,               0.002575
                     77,                  1.248,                0.58921,                 1.1532,                0.90047,                0.87383,                0.92798,                0.61983,                 1.4842,                0.60353,                 1.3328,               0.002476,               0.002476,               0.002476
                     78,                 1.2296,                0.57016,                  1.151,                0.93319,                0.83769,                0.92066,                0.61307,                  1.495,                0.61226,                  1.335,               0.002377,               0.002377,               0.002377
                     79,                  1.225,                0.56942,                 1.1505,                0.87586,                0.89243,                0.90857,                0.60246,                 1.4875,                0.63009,                 1.3246,               0.002278,               0.002278,               0.002278
                     80,                 1.2217,                0.56663,                 1.1508,                0.89976,                0.88312,                0.91623,                0.60065,                 1.5076,                0.62007,                 1.3333,               0.002179,               0.002179,               0.002179
                     81,                  1.219,                0.56161,                 1.1468,                0.90191,                0.89301,                0.91749,                 0.5985,                 1.4943,                0.61627,                 1.3388,                0.00208,                0.00208,                0.00208
                     82,                 1.2125,                0.55938,                 1.1481,                 0.8909,                0.89187,                0.91515,                0.61275,                  1.488,                0.61569,                 1.3363,               0.001981,               0.001981,               0.001981
                     83,                 1.1871,                0.54468,                 1.1354,                0.91689,                0.88879,                0.91092,                0.60745,                 1.4863,                0.62044,                 1.3303,               0.001882,               0.001882,               0.001882
                     84,                 1.2155,                0.55374,                 1.1516,                 0.8899,                0.87423,                0.92883,                0.61541,                 1.4824,                0.62483,                  1.324,               0.001783,               0.001783,               0.001783
                     85,                 1.2017,                0.55515,                 1.1391,                0.90524,                0.88687,                0.92052,                0.60433,                 1.4886,                0.61997,                 1.3259,               0.001684,               0.001684,               0.001684
                     86,                  1.173,                0.54528,                 1.1271,                 0.9162,                0.89588,                0.93641,                0.61467,                  1.483,                0.60774,                  1.328,               0.001585,               0.001585,               0.001585
                     87,                 1.1815,                0.53764,                 1.1251,                0.91068,                0.87989,                0.92347,                0.61511,                 1.4789,                0.61371,                  1.318,               0.001486,               0.001486,               0.001486
                     88,                 1.1744,                0.52799,                 1.1224,                 0.9311,                0.85206,                 0.9307,                0.62281,                 1.4924,                0.60074,                 1.3259,               0.001387,               0.001387,               0.001387
                     89,                 1.1755,                0.53275,                 1.1295,                0.87607,                0.89899,                0.92741,                0.61448,                 1.4812,                0.60077,                 1.3152,               0.001288,               0.001288,               0.001288
                     90,                 1.1882,                0.48482,                 1.1415,                0.89739,                0.86907,                0.92753,                0.62427,                 1.4795,                0.59864,                 1.3157,               0.001189,               0.001189,               0.001189
                     91,                 1.1696,                0.48521,                 1.1325,                0.91531,                0.85567,                0.92816,                0.62502,                 1.4803,                0.59991,                 1.3213,                0.00109,                0.00109,                0.00109
                     92,                 1.1591,                0.46941,                 1.1286,                0.89807,                0.86596,                0.92251,                0.61992,                 1.4821,                0.59448,                 1.3207,               0.000991,               0.000991,               0.000991
                     93,                 1.1505,                0.46583,                 1.1318,                0.90811,                0.88751,                0.92854,                0.63296,                 1.4774,                 0.5913,                 1.3191,               0.000892,               0.000892,               0.000892
                     94,                 1.1322,                  0.468,                 1.1149,                 0.9095,                0.88385,                0.93133,                0.63321,                 1.4723,                0.59347,                 1.3195,               0.000793,               0.000793,               0.000793
                     95,                  1.146,                0.46737,                 1.1237,                0.90888,                0.88843,                0.93351,                 0.6388,                 1.4711,                0.59437,                 1.3173,               0.000694,               0.000694,               0.000694
                     96,                 1.1256,                0.45958,                 1.1054,                0.91489,                0.88018,                  0.937,                0.63336,                 1.4854,                0.58634,                 1.3265,               0.000595,               0.000595,               0.000595
                     97,                 1.1245,                0.46116,                  1.111,                0.90769,                0.88543,                0.93284,                0.63972,                  1.485,                0.59209,                 1.3239,               0.000496,               0.000496,               0.000496
                     98,                 1.1134,                0.45069,                 1.1017,                0.92177,                0.89187,                0.93283,                0.63397,                 1.4818,                0.58898,                  1.325,               0.000397,               0.000397,               0.000397
                     99,                 1.1145,                0.44873,                 1.1093,                0.92261,                0.88958,                0.93188,                 0.6366,                 1.4788,                0.58841,                 1.3226,               0.000298,               0.000298,               0.000298
